Team,Payroll (M£),Manager,Manager Hire Date,Manager Nationality
Arsenal,192,Arsène Wenger,10/1/1996,France
Aston Villa,65.1,Eric Black,3/29/2016,Scotland
Bournemouth,25,Eddie Howe,10/12/2012,England
Chelsea,215.6,Guus Hiddink,12/19/2015,Netherlands
Crystal Palace,54.3,Alan Pardew,1/2/2015,England
Everton,74.7,David Unsworth,5/12/2016,England
Leicester City,48.2,Claudio Ranieri,7/13/2015,Italy
Liverpool,152,Jürgen Klopp,10/8/2015,Germany
Manchester City,193.8,Manuel Pellegrini,6/14/2013,Chile
Manchester United,203,Louis van Gaal,7/14/2014,Netherlands
Newcastle United,75.8,Rafael Benítez,3/11/2016,Spain
Norwich City,37,Alex Neil,1/9/2015,Scotland
Southampton,59.5,Ronald Koeman,6/16/2014,Netherlands
Stoke City,72.3,Mark Hughes,5/30/2013,Wales
Sunderland,71,Sam Allardyce,10/9/2015,England
Swansea City,51,Francesco Guidolin,1/18/2016,Italy
Tottenham Hotspur,110.5,Mauricio Pochettino,5/27/2014,Argentina
Watford,29,Quique Sánchez Flores,6/5/2015,Spain
West Bromwich Albion,68.5,Tony Pulis,1/1/2015,Wales
West Ham United,69.5,Slaven Bili?,6/9/2015,Croatia
